zone_id,impact_mean,impact_max,impact_std,impact_count,priority,rank
Z-14-08,44.56311667398624,44.769832611083984,0.08577489774591221,68310,MEDIUM,1
Z-18-13,44.30901596620213,78.70233917236328,5.679532867457634,36452,MEDIUM,2
Z-16-02,42.21728070175438,46.0462760925293,4.685653357922218,25650,MEDIUM,3
Z-11-07,40.9806543697848,41.1522216796875,0.06480290358434347,68310,MEDIUM,4
Z-14-09,40.67337339381299,72.86804962158203,12.629168452651502,68563,MEDIUM,5
Z-09-03,40.55186206120612,40.624935150146484,0.03046489476880438,5555,MEDIUM,6
Z-13-08,40.40142731664471,44.48849868774414,10.823349071283413,68310,MEDIUM,7
Z-07-19,40.31847442680776,40.69523620605469,0.18890612458562495,28350,MEDIUM,8
Z-11-08,40.2471087688479,65.12142944335938,5.986036704716927,68310,MEDIUM,9
Z-03-13,40.11671987874097,40.22780227661133,0.06003474460645759,3876,MEDIUM,10
Z-03-14,39.99071804647785,40.21104049682617,0.08998541112373934,55080,LOW,11
Z-03-15,39.75615031460345,39.972801208496094,0.08854812488659362,54672,LOW,12
Z-05-18,39.53020640074212,39.577178955078125,0.02429436828483316,2156,LOW,13
Z-07-18,39.158631108775616,57.17616271972656,3.6542179291888455,30448,LOW,14
Z-00-08,38.643566095740006,38.64689636230469,0.0019268577681489962,68310,LOW,15
Z-00-09,38.6375232371361,38.640220642089844,0.0015629494361482628,55407,LOW,16
Z-17-03,38.457032931554025,47.58903884887695,13.16713135255458,25553,LOW,17
Z-08-19,38.42109500805153,69.98453521728516,6.397406532163819,68310,LOW,18
Z-05-03,38.412353735373536,38.51333999633789,0.04438692702137021,9999,LOW,19
Z-01-09,38.36310358465466,64.85333251953125,3.4023700623461157,55626,LOW,20
Z-04-03,38.31443926873002,38.45214080810547,0.050552907477302574,25654,LOW,21
Z-03-03,38.25090498180253,38.295127868652344,0.004459012641039287,25553,LOW,22
Z-00-03,38.25000489179353,38.250003814697266,1.0770962646233782e-06,25553,LOW,23
Z-00-04,38.250003659786266,38.250003814697266,1.5491099958353516e-07,68310,LOW,24
Z-01-03,38.24997076479301,38.250003814697266,0.0005600718454747477,25654,LOW,25
Z-02-03,38.216271083630104,38.250003814697266,0.9648904889224633,25553,LOW,26
Z-10-03,38.067939759698156,53.150421142578125,10.077704711264744,27299,LOW,27
