ward_number,ward_name,assembly_constituency_name,area_hectares,total_population,scheduled_caste_population,total_households,literate_population,households_piped_water_premises,slum_households,mean_normalized_difference_vegetation_index,mean_land_surface_temperature_celsius,worldcover_canopy_fraction,worldcover_built_fraction,cropland_fraction,worldcover_bare_or_other_fraction,jhuggi_jhopri_clusters_apportioned,jhuggi_jhopri_households,jhuggi_jhopri_area_square_meters,jhuggi_jhopri_area_fraction,mean_annual_rainfall_millimeters,mean_groundwater_depth_meters,ridge_fraction,distance_to_water_meters,distance_to_water_body_meters,water_tier,water_cost_multiplier,Environment_Score,Social_Score,Feasibility_Score,Urban_Vulnerability_Score,TPIS,Priority,Estimated_Trees,Estimated_Cost,Estimated_CO2_10Y_kg,Estimated_Temp_Reduction_C,Recommendation_Reason
100,FATEH NAGAR,HARI NAGAR,314.51729219123723,57335,2034,,,,,0.3201336631082882,41.474392284932975,0.2685978108852856,0.6952380821235998,0.0153863448474084,0.020777762143708,5.7,1706,365034,0.11606,738.0319024148585,21.0,0.0,19.1,2818.7,W1,1.0,37.9,,57.31,,,LOW,0,0,0,0.0,General Greening Opportunity
113,MOHAN GARDEN,UTTAM NAGAR,187.62389809705311,60029,5854,,,,,0.15452392444182,42.11600981079231,0.1114624349347234,0.854251695893265,0.0038812421225796,0.0304046270494323,0.0,0,0,0.0,702.7776277909959,14.1,0.0,0.0,607.4,W1,1.0,52.67,,72.0,,,LOW,0,0,0,0.0,Highly Feasible
115,UTTAM NAGAR,UTTAM NAGAR,148.86212644769557,68309,3410,,,,,0.0906642391770027,43.22322640209466,0.0007031560819309,0.9948485314267532,0.0,0.004448312491316,0.0,0,0,0.0,725.8302964903702,19.78,0.0,95.5,1339.1,W1,1.0,64.19,,66.96,,,LOW,0,0,0,0.0,General Greening Opportunity
116,BINDA PUR,UTTAM NAGAR,113.16660886409574,58750,6992,,,,,0.135212994567325,42.770713163802455,0.0152157427638481,0.9708330880596135,0.0007946868518281,0.0131564823247101,0.0,0,0,0.0,734.7484821915878,22.74,0.0,212.2,1396.7,W2,1.35,60.98,,51.29,,,LOW,0,0,0,0.0,General Greening Opportunity
12,MALKA GANJ,TIMARPUR,316.6784506834142,68941,22081,,,,,0.3771653333037745,40.380205808521545,0.4132422981327343,0.5564564376173405,0.003786327867039,0.0265149363828863,4.89,1439,68151,0.02152,839.3649981933036,8.6,0.1278,0.0,531.9,W1,1.0,31.46,,88.8,,,LOW,0,0,0,0.0,Highly Feasible
13,MUKHERJEE NAGAR,TIMARPUR,381.29459473644704,79914,7337,,,,,0.3292374723147871,40.406314715033446,0.3265133584982777,0.6476774786012476,0.0105099401668641,0.0152992227336103,5.67,1668,78999,0.02072,841.8584802455642,7.64,0.0,0.0,1229.3,W1,1.0,37.55,,85.81,,,LOW,0,0,0,0.0,Highly Feasible
130,DWARKA-C,BIJWASAN,1715.8655140493504,45075,5926,,,,,0.3401559858991853,42.62447201715451,0.2578069623047109,0.323192170489991,0.2281551891014599,0.1908456781038364,1.06,994,37659,0.00219,694.9071648270576,25.44,0.0,0.0,1035.7,W1,1.0,44.17,,63.27,,,LOW,0,0,0,0.0,General Greening Opportunity
132,KAPASHERA,BIJWASAN,292.3997417318813,74073,6503,,,,,0.3105932209575142,42.21313969206172,0.3039550760253532,0.571611996568539,0.0972399152454913,0.0271930121606164,1.74,1633,61887,0.02117,702.9517823494971,73.75,0.0002,0.0,453.8,W1,1.0,37.47,,47.79,,,LOW,0,0,0,0.0,General Greening Opportunity
134,RAJ NAGAR,BIJWASAN,137.45563131561622,66635,10170,,,,,0.1126121657203382,43.04121448371953,0.015935179434674,0.9756211551855252,0.0022582526923342,0.0061854126874663,1.56,1469,55672,0.0405,718.0426374077797,41.23,0.0,320.4,1145.4,W2,1.35,61.62,,43.37,,,LOW,0,0,0,0.0,General Greening Opportunity
135,PALAM,PALAM,208.4019973870673,54900,5637,,,,,0.2319953154541792,43.01523689910341,0.0970854652776722,0.8675888716024733,0.0217769421738427,0.0135487209460117,0.22,49,73435,0.03524,718.0426374077797,34.41,0.0002,0.0,343.6,W1,1.0,52.66,,66.95,,,LOW,0,0,0,0.0,General Greening Opportunity
136,MADHU VIHAR,PALAM,148.58974713636653,67394,6236,,,,,0.1644350743648681,42.71873802749824,0.0578014572446104,0.9086677146844464,0.016350879108155,0.0171799489627882,0.27,60,90147,0.06067,734.4423541458111,23.05,0.0,0.0,989.2,W1,1.0,57.75,,69.02,,,LOW,0,0,0,0.0,General Greening Opportunity
138,SADH NAGAR,PALAM,109.73682470472208,56487,5826,,,,,0.1138220287596006,42.75613816044347,0.01534340894806,0.9815603394091764,9.106622478715497e-05,0.0030051854179761,0.23,50,75557,0.06885,722.1898011897673,41.26,0.0,0.0,700.8,W1,1.0,60.94,,61.97,,,LOW,0,0,0,0.0,General Greening Opportunity
139,NARAINA,RAJINDER NAGAR,264.4607251416412,80240,15689,,,,,0.2554337663383097,42.29993642776442,0.121255187176225,0.8688793852509191,0.0032282548181051,0.0066371727547506,8.34,3563,67551,0.02554,749.0891462324149,25.29,0.0,0.0,953.7,W1,1.0,49.96,,69.95,,,LOW,0,0,0,0.0,General Greening Opportunity
140,INDER PURI,RAJINDER NAGAR,624.1076605056958,59603,17847,,,,,0.3349643241380988,42.61910528540263,0.2488507171043792,0.4722766534326527,0.1977671236380636,0.0811055058249058,6.19,2647,50177,0.00804,776.195724116503,25.55,0.0169,0.0,735.3,W1,1.0,46.1,,74.24,,,LOW,0,0,0,0.0,Highly Feasible
141,RAJINDER NAGAR,RAJINDER NAGAR,782.1812317447016,62224,10420,,,,,0.424643361313282,40.16314234690173,0.5667055670023319,0.3323452731821086,0.0116102050696726,0.089338954745887,6.47,2763,52384,0.0067,783.6272411072111,21.04,0.5988,0.0,795.0,W1,1.0,20.42,,70.74,,,LOW,0,0,0,0.0,Highly Feasible
152,R.K. PURAM,R K PURAM,226.46527819709536,54347,10587,,,,,0.4332967907704401,40.387619857323,0.4535608457719302,0.5351963788438634,0.0011065723803352,0.010136203003871,7.46,3386,86750,0.03831,783.6386219412088,19.68,0.0,0.0,748.7,W1,1.0,23.48,,77.63,,,LOW,0,0,0,0.0,Highly Feasible
37,KIRARI,KIRARI,175.5612046221652,57703,10787,,,,,0.1152222406193594,43.63281431636885,0.01694539244919,0.9632452685535472,0.0020193570894951,0.0177899819077676,0.17,58,3054,0.00174,749.4163134159276,4.5,0.0,0.0,2.5,W1,1.0,65.13,,85.56,,,LOW,0,0,0,0.0,Highly Feasible
38,PREM NAGAR,KIRARI,109.49273915094597,63337,10299,,,,,0.0844939541100778,43.02160205496585,0.0025979732669834,0.964813940316522,0.0,0.0325880864164946,0.18,64,3353,0.00306,746.1989942945972,4.36,0.0,0.0,777.8,W1,1.0,65.76,,79.76,,,LOW,0,0,0,0.0,Highly Feasible
39,MUBARIKPUR,KIRARI,317.24698168803457,81734,11903,,,,,0.1406380710407053,40.389698531149456,0.0060630151506844,0.619303551591506,0.0940726213356291,0.2805608119221804,0.24,83,4326,0.00136,717.9149023754248,3.06,0.0,0.0,26.0,W1,1.0,61.68,,82.49,,,LOW,0,0,0,0.0,Highly Feasible
41,AMAN VIHAR,KIRARI,141.30589671319515,78962,18331,,,,,0.0887860940426315,42.909778718021045,0.0063345968825087,0.969612664442334,0.002880140730759,0.0211725979443983,0.23,80,4180,0.00296,751.3605680225434,4.39,0.0,0.0,727.5,W1,1.0,65.08,,80.68,,,LOW,0,0,0,0.0,Highly Feasible
49,MANGOLPURI-A,MANGOL PURI,148.7755176970386,78867,33950,,,,,0.2756888305589238,42.75636252201831,0.1124466187268848,0.776608384778043,0.0377757115240279,0.0731692849710445,3.06,682,11620,0.00781,746.7959425879801,4.05,0.0,0.0,577.3,W1,1.0,52.59,,81.38,,,LOW,0,0,0,0.0,Highly Feasible
50,MANGOLPURI-B,MANGOL PURI,144.5833670978142,81344,41151,,,,,0.2279318380166106,42.89348838920164,0.0843064885474463,0.8933222092368834,0.0081298213487813,0.0142414808668882,3.16,703,11985,0.00829,747.4998518233556,5.55,0.0,314.4,1244.8,W2,1.35,54.68,,61.08,,,LOW,0,0,0,0.0,General Greening Opportunity
51,ROHINI-C,MANGOL PURI,235.791704758109,71696,8133,,,,,0.2346014769507053,42.16075911885548,0.1065804749129965,0.8416758980956566,0.0294179116082091,0.0223257153831381,2.78,620,10563,0.00448,759.7360502304117,5.51,0.0,0.0,98.6,W1,1.0,52.39,,85.6,,,LOW,0,0,0,0.0,Highly Feasible
52,ROHINI-F,ROHINI,210.14186267117137,81298,4021,,,,,0.2337362701455774,42.02398699763737,0.1277897592335662,0.8637627061607391,0.0005249880263426,0.007922546579352,1.06,939,24687,0.01175,778.5173193326301,6.44,0.0,0.0,316.6,W1,1.0,51.58,,85.75,,,LOW,0,0,0,0.0,Highly Feasible
53,ROHINI-E,ROHINI,269.8015704235532,66795,1196,,,,,0.2871663674998775,41.45754295613276,0.2279294986754476,0.7571219634325085,0.0047291277017497,0.010219410190293,0.87,771,20283,0.00752,775.4214408129326,6.9,0.0,17.0,837.7,W1,1.0,42.94,,81.51,,,LOW,0,0,0,0.0,Highly Feasible
54,ROHINI-D,ROHINI,482.2129361519783,80948,6191,,,,,0.3387648847806555,41.38579918309584,0.2830680962726268,0.5809771706788927,0.0819337060250745,0.0540210270234044,1.06,935,24580,0.0051,774.3500647649531,8.8,0.0,0.0,871.9,W1,1.0,39.48,,80.34,,,LOW,0,0,0,0.0,Highly Feasible
55,SHALIMAR BAGH-A,SHALIMAR BAGH,225.2530270383588,61220,10480,,,,,0.3288562930860392,41.60741387456075,0.3088366215139275,0.5691200465520642,0.0455945913522437,0.0764487405817649,3.43,1772,47746,0.0212,788.8634627193737,10.14,0.0,0.0,931.8,W1,1.0,40.59,,80.96,,,LOW,0,0,0,0.0,Highly Feasible
56,SHALIMAR BAGH-B,SHALIMAR BAGH,303.5803794165899,72416,4861,,,,,0.3099961634221735,41.07358443711746,0.2663868113480541,0.7132690218497728,0.0099768641525591,0.0103673026496134,4.06,2096,56478,0.0186,796.3955806276444,8.21,0.0,0.0,1564.5,W1,1.0,40.3,,78.13,,,LOW,0,0,0,0.0,Highly Feasible
57,PITAM PURA,SHALIMAR BAGH,394.7735022885285,80594,5366,,,,,0.3033730240527571,40.93010344619303,0.2580569954582341,0.7008360616049165,0.0121818553945713,0.0289250875422779,4.51,2332,62856,0.01592,777.756644413013,8.19,0.0042,0.0,1546.5,W1,1.0,40.09,,76.15,,,LOW,0,0,0,0.0,Highly Feasible
58,SARASWATI VIHAR,SHAKUR BASTI,413.85807580949097,63630,3390,,,,,0.2974445740209008,41.64453317810259,0.2013217170731447,0.752597467046762,0.0224701608767597,0.0236106550033339,3.22,1473,39048,0.00944,751.2700741958589,5.73,0.0,0.0,1016.0,W1,1.0,43.31,,78.05,,,LOW,0,0,0,0.0,Highly Feasible
59,PASCHIM VIHAR,SHAKUR BASTI,315.6458440452892,67423,7643,,,,,0.2785611347132241,41.11165604706508,0.2001572508661935,0.7504216326030807,0.0243720252097132,0.0250490913210113,3.41,1561,41375,0.01311,750.8850899923857,9.48,0.0,0.0,576.2,W1,1.0,42.82,,79.54,,,LOW,0,0,0,0.0,Highly Feasible
60,RANI BAGH,SHAKUR BASTI,503.35758403101664,66602,5562,,,,,0.3678075261773939,42.01944645301242,0.3722610724430211,0.572205964885715,0.0368826451003059,0.0186503175709587,3.37,1542,40872,0.00812,752.3074021330485,6.35,0.0,0.0,1427.0,W1,1.0,33.35,,74.99,,,LOW,0,0,0,0.0,Highly Feasible
64,KESHAV PURAM,WAZIRPUR,280.6607924775724,65433,7237,,,,,0.2872904985047065,41.96845265499095,0.214457968688261,0.7569366628346221,0.0103322701597331,0.0182730983173838,8.16,4309,65909,0.02348,805.6770027449429,11.51,0.0,0.0,1844.4,W1,1.0,46.88,,75.78,,,LOW,0,0,0,0.0,Highly Feasible
65,ASHOK VIHAR,WAZIRPUR,193.94810325384225,55773,12206,,,,,0.2306177317705111,42.54101958247357,0.1333400130172707,0.8395614287194909,0.0164987517171621,0.0105998065460767,6.95,3673,56179,0.02897,804.6682166897766,10.83,0.0,0.0,914.9,W1,1.0,54.51,,82.55,,,LOW,0,0,0,0.0,Highly Feasible
