ward_number_2017,ward_number_2022,raw_weight,weight
001E,191,0.08413973661033948,0.0841397366103363
001E,192,0.08305212710044098,0.08305212710043784
001E,196,0.8323575068244597,0.8323575068244283
001E,198,0.0004506294647974604,0.0004506294647974434
001N,1,0.7374104538792224,0.7756278882854337
001N,2,0.08748471332241124,0.09201874355666807
001N,3,0.12414664254753485,0.1305807338237739
001N,4,0.0016852915020604314,0.001772634334124335
001S,60,0.15882750824745073,0.15882750824746517
001S,92,0.02135665917225971,0.021356659172261653
001S,93,0.8198158325801986,0.8198158325802731
002E,192,0.09837473659567561,0.09837473659567446
002E,195,0.5386856860918144,0.5386856860918081
002E,196,0.36293957731252163,0.36293957731251736
002N,3,0.00485141238966025,0.004985154541959138
002N,4,0.0075070441583331825,0.00771399589990809
002N,5,0.9595123204113161,0.9859638426860688
002N,7,0.0005624873326024753,0.0005779937996806912
002N,250,0.0007386502047792287,0.0007590130723832559
002S,60,0.18448925399132604,0.18448926379264408
002S,62,0.003131503649263547,0.003131503815630219
002S,89,0.004049698940285027,0.0040496991554324485
002S,92,0.5632918687313406,0.5632918986572178
002S,93,0.2450376215610182,0.2450376345790754
003E,191,0.8083527544551128,0.8083527544550884
003E,192,0.18818622832849244,0.18818622832848675
003E,197,0.003461017216424897,0.0034610172164247924
003N,1,0.01225370033050818,0.01225644654162412
003N,2,5.017926037407035e-06,5.019050618871508e-06
003N,3,0.20656683911505233,0.20661313338816673
003N,4,0.7769819816056938,0.777156113214695
003N,5,0.0004968545095472354,0.0004969658610035565
003N,7,0.003279076123283023,0.0032798110062209835
003N,20,0.00019246780317202472,0.00019251093767068842
003S,90,0.11864267187452984,0.11864267187453113
003S,92,0.6786429798260263,0.6786429798260337
003S,94,0.20271434829943302,0.20271434829943522
004E,190,0.3671580279318799,0.3671580279318484
004E,191,0.17637022079457848,0.17637022079456333
004E,192,0.23015855771921415,0.23015855771919436
004E,193,0.22631319355441334,0.2263131935543939
004N,2,0.12570030209737992,0.12570031311491164
004N,3,0.5824953121656751,0.582495363220927
004N,4,0.25826557411121986,0.2582655967479925
004N,20,0.0011744343024762325,0.0011744344054144672
004N,29,0.00911184567665057,0.009111846475296613
004N,30,0.02325244399739954,0.023252446035457803
004S,59,0.17873672988011863,0.17873672988010708
004S,92,0.3188271000095103,0.3188271000094897
004S,93,0.0023277480890208095,0.002327748089020659
004S,94,0.5001084220214148,0.5001084220213825
005E,192,0.10231815412415236,0.11479361126903871
005E,193,0.22136621671786183,0.24835697679977597
005E,194,0.04039061192003066,0.045315362101241506
005E,195,0.3573246935026104,0.4008926110316191
005E,196,6.053831495462325e-07,6.791963609264561e-07
005E,205,0.16992244087158734,0.1906407596019638
005N,2,0.8948736849246876,0.9540763441736458
005N,3,0.01601999714117207,0.01707984105869426
005N,30,0.027053988882595203,0.028843814767659848
005S,91,0.13504020966490624,0.13504020966490593
005S,92,0.02045820677202841,0.020458206772028364
005S,94,0.18010454755743227,0.18010454755743188
005S,96,0.659280854142885,0.6592808541428835
005S,97,0.005116181862750246,0.005116181862750235
006E,194,0.4760564609217992,0.6514692280812003
006E,195,0.25457043203878854,0.3483721290778789
006E,205,0.0001159271169595729,0.0001586428409207915
006N,4,0.017802631197962222,0.017802631197962143
006N,5,0.058690071166673075,0.05869007116667281
006N,6,0.019115375266570558,0.019115375266570474
006N,7,0.9043015621601443,0.9043015621601403
006N,20,9.036020865433161e-05,9.036020865433121e-05
006S,95,0.1702607297401318,0.17026077369520257
006S,96,0.10409715976336635,0.10409718663743198
006S,97,0.6606172973215523,0.6606174678686896
006S,102,0.0650245550117226,0.06502457179867589
007E,193,0.151616867868205,0.15161686786819972
007E,194,0.658104691620782,0.658104691620759
007E,195,0.1902784405110478,0.19027844051104117
007N,5,0.033458270827402964,0.0341017994694654
007N,6,0.6971699908537082,0.7105791971995817
007N,7,0.023930126468476587,0.024390392985837322
007N,9,0.017463422325087956,0.01779930975072928
007N,10,0.15330861595106704,0.15625731840937393
007N,250,0.0557987617087824,0.05687198218501241
007S,95,0.6919449731374518,0.6919336417650807
007S,96,0.04490475577600827,0.0449040204104392
007S,97,0.20363998338205422,0.20363664854970345
007S,102,0.05952666409043824,0.059525689274776576
008E,195,0.15366201429417295,0.1536620142941694
008E,196,0.8190439923442763,0.8190439923442574
008E,205,0.027293993361573763,0.02729399336157313
008N,9,0.00011218082859416904,0.00011218082859417042
008N,10,0.8657601148154359,0.8657601148154466
008N,11,0.018902740012843297,0.01890274001284353
008N,250,0.11522496434311424,0.11522496434311566
008S,59,0.16208731098286816,0.1620873109828683
008S,94,0.15481837275427085,0.154818372754271
008S,95,0.5372916140594318,0.5372916140594323
008S,96,0.14580270220342834,0.14580270220342847
009E,199,0.11689402782215569,0.11689402782215591
009E,204,0.845641614035559,0.8456416140355606
009E,205,0.03746435814228328,0.03746435814228335
009N,6,0.5000563269351157,0.5000563269350913
009N,9,0.36583107797047065,0.3658310779704528
009N,10,0.1341125950944625,0.13411259509445594
009S,91,0.08333413362221548,0.08333411142171117
009S,96,0.21415588307054925,0.2141558260186739
009S,97,0.00195840702626553,0.0019584065045390566
009S,98,0.6731976734267096,0.6731974940844976
009S,99,0.015589363093509103,0.015589358940448316
009S,100,0.008105153711700076,0.008105151552458813
009S,101,0.0036596524526152888,0.003659651477671091
010E,198,0.0192631958464182,0.019263195846417287
010E,199,0.4078649835276439,0.40786498352762457
010E,200,0.3369602238984563,0.3369602238984404
010E,205,0.23591159672752895,0.2359115967275178
010N,7,0.07746462132234193,0.07746462123011885
010N,8,0.28288901611505113,0.28288901577826653
010N,9,0.44568066679892276,0.44568066626833164
010N,10,0.19211386921833742,0.1921138689896223
010N,18,0.0015614956337397256,0.001561495631880736
010N,19,0.00029033210212560845,0.0002903321017799627
010S,98,0.1554057935028745,0.15630256363661532
010S,99,0.7820855938986168,0.7865986238624852
010S,100,0.018644756308621908,0.018752345995155302
010S,104,0.03812645753662204,0.03834646650574421
011E,196,0.2550734788759396,0.2550734788759449
011E,198,0.2701619968016259,0.2701619968016315
011E,199,0.006081248709959027,0.006081248709959153
011E,200,0.0037283268365183734,0.0037283268365184506
011E,205,0.4649549487759364,0.464954948775946
011N,8,0.8391542784040731,0.8391432933573685
011N,9,0.08095019778633222,0.08094913809835075
011N,10,0.047118705959522604,0.04711808914662068
011N,17,0.010684181564820565,0.010684041702298844
011N,18,0.022105727072953104,0.022105437695361184
011S,98,0.027061510194675228,0.027061406353133744
011S,99,0.10856220758661231,0.10856179100723808
011S,100,0.6579885961831611,0.6579860713222196
011S,101,0.12814768721356515,0.12814719547998185
011S,103,0.047396669796887024,0.047396487924433586
011S,104,0.030847166281010117,0.030847047912993183
012E,190,0.047663737555609105,0.048426030123033655
012E,191,0.07325367794195292,0.07442523386885676
012E,196,0.052915661144953795,0.05376194843293857
012E,197,0.6923796139849734,0.7034529343044562
012E,198,0.025624783392143285,0.026034604000502105
012E,200,0.09242114545654936,0.09389924927021263
012N,10,0.21850454009304296,0.21850567813277133
012N,11,0.6732876526009939,0.6732911592928775
012N,13,0.003482208574732018,0.0034822267111592926
012N,73,0.027082650637242776,0.027082791692125945
012N,230,0.02874156291416295,0.028741712609178155
012N,250,0.04889617689536288,0.04889643156188766
012S,36,0.00921024151309328,0.009210913631121082
012S,48,0.06344294550751375,0.06344757526096287
012S,59,0.03518476738206402,0.035187334992959764
012S,95,0.028341833396880955,0.02834390164418369
012S,97,0.001696389870267086,0.0016965136644382123
012S,101,0.003950588223125167,0.003950876517581008
012S,102,0.6362724568310447,0.6363188888587198
012S,103,0.2218278075300425,0.2218439954300337
013E,142,0.006813151093164886,0.0068131510931649505
013E,201,0.5977914099173031,0.5977914099173087
013E,203,0.21858589063568737,0.21858589063568942
013E,210,0.10687499385348523,0.10687499385348624
013E,211,0.06993455450035006,0.06993455450035073
013N,12,0.6322388009725832,0.6322387921291905
013N,69,0.06915119960651642,0.06915119863926922
013N,73,0.29861001340832544,0.29861000923154035
013S,96,0.014711942093402474,0.014711394576998459
013S,97,0.3148320474568013,0.31482033073650717
013S,98,0.012960669354113894,0.012960187012691304
013S,101,0.3964070022697012,0.39639224967381476
013S,102,0.26112555599129805,0.26111583799998833
014E,203,0.2956984364424517,0.2956984364424444
014E,204,0.1319051659112717,0.13190516591126844
014E,209,0.2922762330811322,0.292276233081125
014E,210,0.2801201645651691,0.2801201645651622
014N,11,0.13930573890518244,0.13930573890518308
014N,12,0.32990703286125894,0.32990703286126044
014N,13,0.4544606454164941,0.45446064541649617
014N,14,0.03815983043889805,0.03815983043889822
014N,68,0.0006986412250657253,0.0006986412250657285
014N,73,0.037468111153096235,0.03746811115309641
014S,101,0.1912410116095494,0.19124106571353358
014S,102,0.08107414037372448,0.08107416331040512
014S,103,0.45750475876195335,0.4575048881945997
014S,107,0.2701798063449073,0.2701798827814616
015E,200,0.0012201614518151458,0.0012201614518151415
015E,201,0.6484921337740007,0.6484921337739984
015E,202,0.2308930612291171,0.23089306122911626
015E,203,0.044830001880402634,0.044830001880402474
015E,204,0.07456464166466786,0.0745646416646676
015N,11,0.4034934022050602,0.40349340220506474
015N,13,0.4026465421051678,0.40264654210517237
015N,14,0.19386005568976064,0.19386005568976283
015S,100,0.2511035332215821,0.2511034515154191
015S,103,0.109546576695053,0.10954654104987376
015S,104,0.09413382005113723,0.09413378942108935
