ward_number_2017,zone,raw_coverage,flag_low_coverage
102S,S,0.12944108357880044,True
054E,E,0.30968464193124157,True
104S,S,0.40676785073758687,True
061E,E,0.4273126369739648,True
065S,S,0.6492696870229229,True
098S,S,0.652789600175782,True
060S,S,0.7254721502159258,True
006E,E,0.7307428200775473,True
055E,E,0.7324842801646927,True
053E,E,0.744891082109512,True
056E,E,0.7456389976521434,True
066S,S,0.7823411690155289,True
061S,S,0.8338096782080294,True
050S,S,0.8471026713825474,True
019E,E,0.8649253280209134,True
099S,S,0.8744290481450405,True
058S,S,0.8747484108546434,True
060E,E,0.8789253713521367,True
064S,S,0.8830938669021314,True
005E,E,0.8913227225193922,True
048S,S,0.8981969856727847,True
052E,E,0.9019744798283158,False
103N,N,0.9216180701590138,False
072S,S,0.921925537519283,False
005N,N,0.9379476709484549,False
034E,E,0.9382395157461818,False
001N,N,0.950727101251229,False
093N,N,0.9544216087667076,False
071S,S,0.956299864359429,False
029N,N,0.9571589415804185,False
035N,N,0.960007875002171,False
002N,N,0.9731719144966912,False
104N,N,0.9753051358526562,False
062E,E,0.9776776103557178,False
007N,N,0.9811291881345251,False
036E,E,0.9834990262936084,False
101S,S,0.9839278980584649,False
012E,E,0.9842586194761819,False
062S,S,0.9876220098796638,False
102N,N,0.9876904860118567,False
039N,N,0.9884958980662811,False
040S,S,0.9902937541872142,False
010S,S,0.9942626012467352,False
041S,S,0.9954375406841901,False
045S,S,0.9961978425491362,False
046N,N,0.9978174968217102,False
021N,N,0.998565302528639,False
047S,S,0.9993673308822346,False
089N,N,0.9994415265877991,False
003N,N,0.999775937413294,False
043E,E,0.9997926663924029,False
016N,N,0.9998199545509376,False
030S,S,0.9998297782338634,False
041E,E,0.9998347935523175,False
068N,N,0.9998718984951092,False
021S,S,0.9998760829431477,False
042E,E,0.9998972339337562,False
012S,S,0.9999270302540314,False
019N,N,0.9999370200545102,False
057N,N,0.9999445613560025,False
052S,S,0.9999472501864913,False
082N,N,0.9999551767057873,False
034N,N,0.9999624557942202,False
028S,S,0.999965196959049,False
031S,S,0.9999662395184185,False
036N,N,0.999983001859591,False
087N,N,0.9999842570060815,False
065N,N,0.9999878531752819,False
033N,N,0.9999906737837364,False
026E,E,0.9999919063425174,False
040E,E,0.9999939195576242,False
012N,N,0.9999947917155375,False
079N,N,0.9999952080474397,False
031E,E,0.9999967936495207,False
083N,N,0.9999968349143653,False
038N,N,0.9999979157279738,False
098N,N,0.9999980291526849,False
034S,S,0.9999989773749052,False
022N,N,0.9999989964110148,False
044S,S,0.9999992570810511,False
044E,E,0.9999992882840342,False
039S,S,0.9999996002881579,False
032N,N,0.999999706198681,False
014S,S,0.9999997170901345,False
006S,S,0.999999741836773,False
051E,E,0.9999997439660135,False
069N,N,0.9999998537836514,False
071N,N,0.9999999044474975,False
004N,N,0.9999999123508012,False
077S,S,0.99999991989061,False
045E,E,0.9999999285956821,False
085N,N,0.999999929311517,False
091N,N,0.9999999362865688,False
002S,S,0.9999999468732335,False
080N,N,0.9999999505742949,False
053N,N,0.9999999547110398,False
042S,S,0.9999999573718842,False
051S,S,0.9999999650267757,False
097N,N,0.9999999765996376,False
056N,N,0.9999999794735809,False
066N,N,0.9999999815636248,False
055N,N,0.9999999832304182,False
056S,S,0.9999999897001566,False
081N,N,0.9999999899806156,False
090N,N,0.9999999925133203,False
058N,N,0.9999999968589179,False
019S,S,0.9999999971838708,False
024E,E,0.9999999995390492,False
087S,S,0.9999999997480855,False
025E,E,0.9999999999372822,False
001S,S,0.9999999999999091,False
059N,N,0.9999999999999144,False
017N,N,0.9999999999999205,False
096N,N,0.9999999999999216,False
063N,N,0.9999999999999271,False
078N,N,0.9999999999999528,False
092N,N,0.9999999999999595,False
067S,S,0.9999999999999601,False
046E,E,0.9999999999999606,False
025S,S,0.9999999999999611,False
101N,N,0.9999999999999614,False
086N,N,0.9999999999999624,False
089S,S,0.9999999999999654,False
084S,S,0.9999999999999682,False
075S,S,0.9999999999999714,False
049S,S,0.9999999999999727,False
082S,S,0.9999999999999749,False
030E,E,0.9999999999999756,False
029E,E,0.9999999999999758,False
011E,E,0.9999999999999793,False
095S,S,0.9999999999999796,False
096S,S,0.9999999999999817,False
088N,N,0.9999999999999837,False
070S,S,0.9999999999999846,False
093S,S,0.9999999999999863,False
008N,N,0.9999999999999877,False
030N,N,0.9999999999999887,False
015N,N,0.9999999999999887,False
054S,S,0.9999999999999887,False
048E,E,0.9999999999999887,False
064E,E,0.9999999999999889,False
003S,S,0.9999999999999891,False
100N,N,0.9999999999999892,False
018E,E,0.9999999999999892,False
043S,S,0.9999999999999895,False
013E,E,0.9999999999999906,False
064N,N,0.9999999999999918,False
068S,S,0.9999999999999933,False
083S,S,0.9999999999999934,False
014N,N,0.9999999999999954,False
020E,E,0.9999999999999971,False
049E,E,0.9999999999999973,False
094S,S,0.9999999999999979,False
009E,E,0.9999999999999981,False
081S,S,0.9999999999999982,False
016E,E,0.9999999999999984,False
074S,S,0.999999999999999,False
