ward_number,ward_name,jhuggi_jhopri_clusters_apportioned,jhuggi_jhopri_households,jhuggi_jhopri_area_square_meters,jhuggi_jhopri_area_fraction
1,NARELA,0.0,0,0,0.0
2,BANKNER,0.0,0,0,0.0
3,HOLAMBI KALAN,0.0,0,0,0.0
4,ALIPUR,0.0,0,0,0.0
5,BAKHTAWARPUR,0.0,0,0,0.0
6,BURARI,0.19,58,1450,0.00012
7,KADIPUR,0.19,57,1430,0.00011
8,MUKUNDPUR,0.24,70,1757,0.00046
9,SANT NAGAR,0.15,44,1102,0.00034
10,JHARODA,0.23,68,1699,0.00015
11,TIMARPUR,5.44,1599,75719,0.01536
12,MALKA GANJ,4.89,1439,68151,0.02152
13,MUKHERJEE NAGAR,5.67,1668,78999,0.02072
14,DHIRPUR,2.86,1872,34197,0.00514
15,ADARSH NAGAR,2.83,1849,33787,0.01492
16,AZADPUR,3.31,2164,39546,0.02183
17,BHALSWA,2.85,2273,70954,0.07968
18,JAHANGIR PURI,3.6,2874,89714,0.03288
19,SARUP NAGAR,3.52,2814,87835,0.01787
20,SAMAYPUR BADLI,3.04,2425,75702,0.01598
21,ROHINI-A,0.0,0,0,0.0
22,ROHINI-B,0.0,0,0,0.0
23,RITHALA,0.0,0,0,0.0
24,VIJAY VIHAR,0.0,0,0,0.0
25,BUDH VIHAR,0.0,0,0,0.0
26,POOTH KALAN,0.37,1181,25370,0.00563
27,BEGUMPUR,0.41,1329,28544,0.00405
28,SHAHBAAD DAIRY,0.28,918,19708,0.00659
29,POOTH KHURD,0.3,970,20826,0.00067
30,BAWANA,0.33,1077,23133,0.00132
31,NANGAL THAKRAN,0.3,970,20820,0.00034
32,KANJHAWALA,0.0,0,0,0.0
33,RANI KHERA,0.0,0,0,0.0
34,NANGLOI,0.0,0,0,0.0
35,MUNDKA,0.0,0,0,0.0
36,NILOTHI,0.0,0,0,0.0
37,KIRARI,0.17,58,3054,0.00174
38,PREM NAGAR,0.18,64,3353,0.00306
39,MUBARIKPUR,0.24,83,4326,0.00136
40,NITHARI,0.19,65,3387,0.00085
41,AMAN VIHAR,0.23,80,4180,0.00296
42,MANGOL PURI,4.76,1071,33558,0.04197
43,SULTANPURI-A,5.15,1159,36305,0.02762
44,SULTANPURI-B,5.08,1142,35801,0.04048
45,JAWALAPURI,2.47,1336,16655,0.01077
46,NANGLOI JAT,1.99,1074,13391,0.00655
47,NIHAL VIHAR,1.62,876,10924,0.00784
48,GURU HARKISHAN NAGAR,1.93,1042,12993,0.0033
49,MANGOLPURI-A,3.06,682,11620,0.00781
50,MANGOLPURI-B,3.16,703,11985,0.00829
51,ROHINI-C,2.78,620,10563,0.00448
52,ROHINI-F,1.06,939,24687,0.01175
53,ROHINI-E,0.87,771,20283,0.00752
54,ROHINI-D,1.06,935,24580,0.0051
55,SHALIMAR BAGH-A,3.43,1772,47746,0.0212
56,SHALIMAR BAGH-B,4.06,2096,56478,0.0186
57,PITAM PURA,4.51,2332,62856,0.01592
58,SARASWATI VIHAR,3.22,1473,39048,0.00944
59,PASCHIM VIHAR,3.41,1561,41375,0.01311
60,RANI BAGH,3.37,1542,40872,0.00812
61,KOHAT ENCLAVE,3.84,697,19755,0.00739
62,SHAKUR PUR,4.16,756,21419,0.0085
63,TRI NAGAR,4.0,726,20578,0.0144
64,KESHAV PURAM,8.16,4309,65909,0.02348
65,ASHOK VIHAR,6.95,3673,56179,0.02897
66,WAZIR PUR,10.89,5755,88033,0.03146
67,SANGAM PARK,6.94,3611,60058,0.06189
68,MODEL TOWN,8.34,4339,72160,0.02031
69,KAMLA NAGAR,7.72,4016,66797,0.02163
70,SHASTRI NAGAR,6.46,1622,31848,0.01532
71,KISHAN GANJ,6.1,1530,30038,0.0102
72,SADAR BAZAR,5.44,1365,26803,0.02088
73,CIVIL LINES,5.41,1178,2138359,0.34248
74,CHANDNI CHOWK,5.07,1104,2003795,0.3755
75,JAMA MASJID,4.52,984,1785818,2.93275
76,CHANDANI MAHAL,2.72,837,22356,0.03627
77,DELHI GATE,2.59,797,21291,0.00884
78,BAZAR SITA RAM,2.7,831,22204,0.05004
79,BALLIMARAN,0.32,52,633,0.00061
80,RAM NAGAR,0.36,58,705,0.00086
81,QURAISH NAGAR,0.31,51,612,0.00083
82,PAHAR GANJ,2.03,589,9995,0.00519
