ward_number,ward_name,mean_groundwater_depth_meters
1,NARELA,19.29
2,BANKNER,15.86
3,HOLAMBI KALAN,13.67
4,ALIPUR,12.5
5,BAKHTAWARPUR,11.34
6,BURARI,5.08
7,KADIPUR,7.99
8,MUKUNDPUR,4.79
9,SANT NAGAR,4.53
10,JHARODA,3.89
11,TIMARPUR,7.46
12,MALKA GANJ,8.6
13,MUKHERJEE NAGAR,7.64
14,DHIRPUR,6.04
15,ADARSH NAGAR,6.24
16,AZADPUR,7.28
17,BHALSWA,3.91
18,JAHANGIR PURI,3.96
19,SARUP NAGAR,7.12
20,SAMAYPUR BADLI,8.29
21,ROHINI-A,7.8
22,ROHINI-B,6.61
23,RITHALA,6.44
24,VIJAY VIHAR,5.75
25,BUDH VIHAR,5.57
26,POOTH KALAN,5.17
27,BEGUMPUR,6.05
28,SHAHBAAD DAIRY,6.82
29,POOTH KHURD,6.7
30,BAWANA,9.11
31,NANGAL THAKRAN,5.95
32,KANJHAWALA,6.31
33,RANI KHERA,3.08
34,NANGLOI,4.81
35,MUNDKA,6.02
36,NILOTHI,9.77
37,KIRARI,4.5
38,PREM NAGAR,4.36
39,MUBARIKPUR,3.06
40,NITHARI,3.44
41,AMAN VIHAR,4.39
42,MANGOL PURI,5.24
43,SULTANPURI-A,4.24
44,SULTANPURI-B,4.38
45,JAWALAPURI,6.26
46,NANGLOI JAT,6.84
47,NIHAL VIHAR,8.29
48,GURU HARKISHAN NAGAR,7.78
49,MANGOLPURI-A,4.05
50,MANGOLPURI-B,5.55
51,ROHINI-C,5.51
52,ROHINI-F,6.44
53,ROHINI-E,6.9
54,ROHINI-D,8.8
55,SHALIMAR BAGH-A,10.14
56,SHALIMAR BAGH-B,8.21
57,PITAM PURA,8.19
58,SARASWATI VIHAR,5.73
59,PASCHIM VIHAR,9.48
60,RANI BAGH,6.35
61,KOHAT ENCLAVE,6.7
62,SHAKUR PUR,11.04
63,TRI NAGAR,13.97
64,KESHAV PURAM,11.51
65,ASHOK VIHAR,10.83
66,WAZIR PUR,13.43
67,SANGAM PARK,11.0
68,MODEL TOWN,8.65
69,KAMLA NAGAR,10.57
70,SHASTRI NAGAR,13.5
71,KISHAN GANJ,13.96
72,SADAR BAZAR,7.96
73,CIVIL LINES,6.08
74,CHANDNI CHOWK,5.82
75,JAMA MASJID,6.77
76,CHANDANI MAHAL,8.93
77,DELHI GATE,9.74
78,BAZAR SITA RAM,6.91
79,BALLIMARAN,7.02
80,RAM NAGAR,8.87
81,QURAISH NAGAR,8.73
82,PAHAR GANJ,11.39
83,KAROL BAGH,12.95
84,DEV NAGAR,18.58
85,WEST PATEL NAGAR,19.63
86,EAST PATEL NAGAR,22.74
87,RANJEET NAGAR,25.77
88,BALJEET NAGAR,21.77
89,KARAM PURA,17.29
90,MOTI NAGAR,19.76
91,RAMESH NAGAR,23.0
92,PUNJABI BAGH,14.7
93,MADIPUR,9.82
94,RAGHUBIR NAGAR,16.07
95,VISHNU GARDEN,13.37
96,RAJOURI GARDEN,20.35
97,CHAUKHANDI NAGAR,15.66
98,SUBHASH NAGAR,25.55
99,HARI NAGAR,32.83
100,FATEH NAGAR,21.0
101,TILAK NAGAR,16.15
102,KHYALA,12.7
103,KESHOPUR,14.34
104,JANAK PURI SOUTH,25.09
105,MAHAVEER ENCLAVE,22.81
106,JANAK PURI WEST,17.44
107,VIKAS PURI,14.74
108,HASTSAL,15.79
109,VIKAS NAGAR,10.49
110,KUNWAR SINGH NAGAR,6.99
111,BAPROLA,9.63
112,SAINIK ENCLAVE,9.63
113,MOHAN GARDEN,14.1
114,NAWADA,15.93
115,UTTAM NAGAR,19.78
116,BINDA PUR,22.74
117,DABRI,28.36
118,SAGARPUR,29.95
119,MANGLAPURI,36.72
120,DWARKA-B,22.35
121,DWARKA-A,21.25
122,MATIALA,20.0
123,KAKROLA,18.97
124,NANGLI SAKRAWATI,19.89
125,CHHAWALA,10.33
126,ISAPUR,10.98
127,NAJAFGARH,12.27
128,DICHAON KALAN,13.39
129,ROSHAN PURA,20.0
130,DWARKA-C,25.44
131,BIJWASAN,53.36
132,KAPASHERA,73.75
133,MAHIPALPUR,36.97
134,RAJ NAGAR,41.23
135,PALAM,34.41
136,MADHU VIHAR,23.05
137,MAHAVIR ENCLAVE,28.35
138,SADH NAGAR,41.26
139,NARAINA,25.29
140,INDER PURI,25.55
141,RAJINDER NAGAR,21.04
142,DARYAGANJ,8.01
143,SIDHARTHA NAGAR,6.2
144,LAJPAT NAGAR,8.95
145,ANDREWS GANJ,13.21
146,AMAR COLONY,12.41
147,KOTLA MUBARAKPUR,13.37
148,HAUZ KHAS,18.98
149,MALVIYA NAGAR,30.75
150,GREEN PARK,23.66
151,MUNIRKA,18.46
152,R.K. PURAM,19.68
153,VASANT VIHAR,22.6
154,LADO SARAI,25.29
155,MEHRAULI,24.15
156,VASANT KUNJ,41.83
157,AYA NAGAR,53.67
158,BHATI,47.52
159,CHHATARPUR,48.89
160,SAID-UL-AJAIB,51.58
161,DEOLI,53.01
162,TIGRI,44.21
163,SANGAM VIHAR-A,49.32
164,DAKSHIN PURI,44.32
165,MADANGIR,46.69
166,PUSHP VIHAR,48.53
167,KHANPUR,44.74
168,SANGAM VIHAR-C,45.44
169,SANGAM VIHAR-B,47.86
170,TUGHLAKABAD EXTENSION,40.05
171,CHITARANJAN PARK,35.82
172,CHIRAG DELHI,34.56
173,GREATER KAILASH,23.73
174,SRI NIWAS PURI,12.2
175,KALKAJI,22.65
176,GOVIND PURI,26.69
177,HARKESH NAGAR,20.19
178,TUGHLAKABAD,32.6
179,PUL PEHLADPUR,34.98
180,BADARPUR,17.06
181,MOLARBAND,19.1
182,MEETHAPUR,12.29
183,HARI NAGAR EXTENSION,10.36
184,JAITPUR,7.2
185,MADANPUR KHADAR EAST,8.41
186,MADANPUR KHADAR WEST,13.58
187,SARITA VIHAR,11.69
188,ABUL FAZAL ENCLAVE,9.22
189,ZAKIR NAGAR,8.33
190,NEW ASHOK NAGAR,10.2
191,MAYUR VIHAR PHASE-I,10.23
192,TRILOKPURI,10.51
193,KONDLI,11.48
194,GHAROLI,14.9
195,KALYANPURI,16.57
196,MAYUR VIHAR PHASE-II,12.7
197,PATPAR GANJ,7.73
198,VINOD NAGAR,10.22
199,MANDAWALI,11.5
200,PANDAV NAGAR,6.32
201,LALITA PARK,7.11
202,SHAKARPUR,8.38
203,LAXMI NAGAR,9.13
204,PREET VIHAR,11.71
205,I.P. EXTENSION,18.37
206,ANAND VIHAR,14.39
207,VISHWAS NAGAR,13.52
208,ANARKALI,11.32
209,JAGAT PURI,10.01
210,GEETA COLONY,8.93
211,KRISHNA NAGAR,10.32
212,GANDHI NAGAR,8.51
213,SHASTRI PARK,7.58
214,AZAD NAGAR,11.68
215,SHAHDARA,13.73
216,JHILMIL,14.33
217,DILSHAD COLONY,15.4
218,SUNDAR NAGRI,16.58
219,DILSHAD GARDEN,16.19
220,NAND NAGRI,17.63
221,ASHOK NAGAR,20.58
222,RAM NAGAR EAST,16.18
223,ROHTASH NAGAR,16.51
224,WELCOME COLONY,14.42
225,SEELAMPUR,10.23
226,GAUTAM PURI,7.0
227,CHAUHAN BANGER,13.49
228,MAUJPUR,19.44
229,BRAHAM PURI,6.83
230,BHAJANPURA,10.33
231,GHONDA,16.03
232,YAMUNA VIHAR,24.72
233,SUBHASH MOHALLA,23.93
234,KABIR NAGAR,21.81
235,GORAKH PARK,17.28
236,KARDAM PURI,22.18
237,HARSH VIHAR,17.76
238,SABOLI,20.15
239,GOKAL PURI,25.58
240,JOHARIPUR,24.54
241,KARAWAL NAGAR-EAST,19.91
242,DAYALPUR,19.84
243,MUSTAFABAD,25.88
244,NEHRU VIHAR,24.11
245,BRIJ PURI,28.05
246,SRI RAM COLONY,17.32
247,SADATPUR,19.82
248,KARAWAL NAGAR-WEST,15.44
249,SONIA VIHAR,12.61
250,SABAPUR,6.27
