ward_number,ward_name,mean_land_surface_temperature_celsius
1,NARELA,43.73145921523626
2,BANKNER,44.6106738579587
3,HOLAMBI KALAN,43.60697957794595
4,ALIPUR,43.696316856599
5,BAKHTAWARPUR,42.1856817574952
6,BURARI,40.79040792684825
7,KADIPUR,42.58908148197376
8,MUKUNDPUR,40.81284826826017
9,SANT NAGAR,41.49483817263278
10,JHARODA,39.939707047340676
11,TIMARPUR,41.04426554120729
12,MALKA GANJ,40.380205808521545
13,MUKHERJEE NAGAR,40.406314715033446
14,DHIRPUR,40.82467743609174
15,ADARSH NAGAR,43.42621212438499
16,AZADPUR,43.980967478823985
17,BHALSWA,43.01736140909728
18,JAHANGIR PURI,43.64996606390677
19,SARUP NAGAR,44.08949098755915
20,SAMAYPUR BADLI,44.687493006392614
21,ROHINI-A,41.56432838996269
22,ROHINI-B,41.13779640804134
23,RITHALA,42.968929384367
24,VIJAY VIHAR,41.87021686228454
25,BUDH VIHAR,43.354187964894244
26,POOTH KALAN,42.899913339607515
27,BEGUMPUR,42.6666021869215
28,SHAHBAAD DAIRY,43.46848718221167
29,POOTH KHURD,43.69527279965171
30,BAWANA,43.80956014298208
31,NANGAL THAKRAN,44.930122780941815
32,KANJHAWALA,46.13181940471803
33,RANI KHERA,43.7048051101173
34,NANGLOI,45.43009658742076
35,MUNDKA,44.29286611672477
36,NILOTHI,42.286503338623156
37,KIRARI,43.632814316368844
38,PREM NAGAR,43.02160205496585
39,MUBARIKPUR,40.389698531149456
40,NITHARI,40.99910929604829
41,AMAN VIHAR,42.909778718021045
42,MANGOL PURI,41.96001181372079
43,SULTANPURI-A,42.237771125437064
44,SULTANPURI-B,42.72257530524599
45,JAWALAPURI,42.52381994524611
46,NANGLOI JAT,44.128680516881786
47,NIHAL VIHAR,43.281371588824584
48,GURU HARKISHAN NAGAR,42.476631120172875
49,MANGOLPURI-A,42.75636252201831
50,MANGOLPURI-B,42.89348838920164
51,ROHINI-C,42.16075911885548
52,ROHINI-F,42.02398699763737
53,ROHINI-E,41.45754295613276
54,ROHINI-D,41.385799183095834
55,SHALIMAR BAGH-A,41.60741387456075
56,SHALIMAR BAGH-B,41.07358443711746
57,PITAM PURA,40.93010344619303
58,SARASWATI VIHAR,41.64453317810259
59,PASCHIM VIHAR,41.111656047065075
60,RANI BAGH,42.01944645301242
61,KOHAT ENCLAVE,41.31010390169307
62,SHAKUR PUR,42.67468432660733
63,TRI NAGAR,42.07273064583644
64,KESHAV PURAM,41.96845265499095
65,ASHOK VIHAR,42.541019582473574
66,WAZIR PUR,40.48555507297476
67,SANGAM PARK,42.93825380813283
68,MODEL TOWN,41.53035850035595
69,KAMLA NAGAR,40.96030301370709
70,SHASTRI NAGAR,41.28187972690714
71,KISHAN GANJ,43.35630535632789
72,SADAR BAZAR,43.41127940367378
73,CIVIL LINES,40.04098312224892
74,CHANDNI CHOWK,42.35588785703096
75,JAMA MASJID,43.45353226942143
76,CHANDANI MAHAL,43.23234057134157
77,DELHI GATE,42.151970457915056
78,BAZAR SITA RAM,43.90921434672067
79,BALLIMARAN,43.87870692330949
80,RAM NAGAR,43.238379208335516
81,QURAISH NAGAR,43.29816583170153
82,PAHAR GANJ,42.346309122568584
83,KAROL BAGH,42.01242020992969
84,DEV NAGAR,41.27520071700542
85,WEST PATEL NAGAR,42.07585706544929
86,EAST PATEL NAGAR,41.31252642644203
87,RANJEET NAGAR,41.98725532168961
88,BALJEET NAGAR,42.110836071384405
89,KARAM PURA,41.93669299764866
90,MOTI NAGAR,42.401195724309844
91,RAMESH NAGAR,42.6370502663731
92,PUNJABI BAGH,41.725216646058364
93,MADIPUR,41.84993661620241
94,RAGHUBIR NAGAR,42.21428046093168
95,VISHNU GARDEN,42.77969305143167
96,RAJOURI GARDEN,41.929843109206104
97,CHAUKHANDI NAGAR,42.50605979274464
98,SUBHASH NAGAR,42.29950536252998
99,HARI NAGAR,42.61827309924098
100,FATEH NAGAR,41.474392284932975
101,TILAK NAGAR,42.57358447246419
102,KHYALA,41.719736999117764
103,KESHOPUR,42.0456134275902
104,JANAK PURI SOUTH,41.82704363039885
105,MAHAVEER ENCLAVE,43.0734849756838
106,JANAK PURI WEST,42.29731602426426
107,VIKAS PURI,41.69898789131706
108,HASTSAL,43.30814453032937
109,VIKAS NAGAR,42.15999853429103
110,KUNWAR SINGH NAGAR,41.33642554503493
111,BAPROLA,41.86536150744222
112,SAINIK ENCLAVE,42.561450786902846
113,MOHAN GARDEN,42.11600981079231
114,NAWADA,43.38533380379811
115,UTTAM NAGAR,43.22322640209466
116,BINDA PUR,42.770713163802455
117,DABRI,42.845770874068805
118,SAGARPUR,41.959751203623384
119,MANGLAPURI,42.295118139051475
120,DWARKA-B,42.860709972183955
121,DWARKA-A,41.88420274428682
122,MATIALA,42.763387417197166
123,KAKROLA,42.74677428142307
124,NANGLI SAKRAWATI,43.364265302599286
125,CHHAWALA,45.37546771732399
126,ISAPUR,47.90307061244576
127,NAJAFGARH,45.72182061992257
128,DICHAON KALAN,45.50932284466427
129,ROSHAN PURA,43.476769361227404
130,DWARKA-C,42.62447201715451
131,BIJWASAN,41.67035374348062
132,KAPASHERA,42.213139692061716
133,MAHIPALPUR,44.48340790418966
134,RAJ NAGAR,43.04121448371953
135,PALAM,43.01523689910341
136,MADHU VIHAR,42.71873802749824
137,MAHAVIR ENCLAVE,42.9985446288064
138,SADH NAGAR,42.75613816044347
139,NARAINA,42.29993642776442
140,INDER PURI,42.619105285402625
141,RAJINDER NAGAR,40.16314234690173
142,DARYAGANJ,40.80551170866622
143,SIDHARTHA NAGAR,40.9830833058963
144,LAJPAT NAGAR,41.33722062573815
145,ANDREWS GANJ,41.558375412328765
146,AMAR COLONY,41.41426308538145
147,KOTLA MUBARAKPUR,42.03197941101153
148,HAUZ KHAS,39.13192153344892
149,MALVIYA NAGAR,40.276470563218794
150,GREEN PARK,38.95314055554816
151,MUNIRKA,40.680098677725866
152,R.K. PURAM,40.387619857323
153,VASANT VIHAR,40.45920091509243
154,LADO SARAI,39.24277916207635
155,MEHRAULI,39.323199866932704
156,VASANT KUNJ,41.248071576784376
157,AYA NAGAR,42.03055899162709
158,BHATI,41.81131144638503
159,CHHATARPUR,39.881807066401606
160,SAID-UL-AJAIB,40.81156893399813
161,DEOLI,41.14769390314222
162,TIGRI,42.35526135998348
163,SANGAM VIHAR-A,42.960861877775464
164,DAKSHIN PURI,39.528086052243545
165,MADANGIR,40.929454847411755
166,PUSHP VIHAR,40.960114727230476
167,KHANPUR,41.111465491343594
168,SANGAM VIHAR-C,42.219061497502594
169,SANGAM VIHAR-B,41.07006946612725
170,TUGHLAKABAD EXTENSION,41.12076991492013
171,CHITARANJAN PARK,40.124374235379456
172,CHIRAG DELHI,39.31183944861171
173,GREATER KAILASH,40.401333278829014
174,SRI NIWAS PURI,40.70613978620872
175,KALKAJI,41.25092415899828
176,GOVIND PURI,41.80912946880078
177,HARKESH NAGAR,42.559300982117875
178,TUGHLAKABAD,42.00774267909721
179,PUL PEHLADPUR,41.68425604697656
180,BADARPUR,42.461190768847906
181,MOLARBAND,42.207118084717735
182,MEETHAPUR,42.639730263606914
183,HARI NAGAR EXTENSION,42.50772678474754
184,JAITPUR,42.06866323039848
185,MADANPUR KHADAR EAST,41.74099243600831
186,MADANPUR KHADAR WEST,41.82283774434699
187,SARITA VIHAR,40.60420597198836
188,ABUL FAZAL ENCLAVE,39.523377194262906
189,ZAKIR NAGAR,39.18417260041896
190,NEW ASHOK NAGAR,40.314320657869466
191,MAYUR VIHAR PHASE-I,40.8970227716638
192,TRILOKPURI,41.13777436803395
193,KONDLI,40.95943414404624
194,GHAROLI,41.87839941737619
195,KALYANPURI,43.32823183218355
196,MAYUR VIHAR PHASE-II,41.71739078122256
197,PATPAR GANJ,38.732398853963794
198,VINOD NAGAR,42.70300204143387
199,MANDAWALI,42.80420510183607
200,PANDAV NAGAR,41.95413794836571
201,LALITA PARK,40.56460496246088
202,SHAKARPUR,43.05218449877328
203,LAXMI NAGAR,43.63526624508929
204,PREET VIHAR,42.36801912446828
205,I.P. EXTENSION,43.14791577405146
206,ANAND VIHAR,43.28761968852726
207,VISHWAS NAGAR,44.44135838253736
208,ANARKALI,44.07970158927781
209,JAGAT PURI,43.881430743764746
210,GEETA COLONY,42.66833478789556
211,KRISHNA NAGAR,42.53984945802064
212,GANDHI NAGAR,41.66123536315702
213,SHASTRI PARK,42.33359009304816
214,AZAD NAGAR,43.65841694696071
215,SHAHDARA,44.2460308926895
216,JHILMIL,44.090056211325674
217,DILSHAD COLONY,43.69853219721259
218,SUNDAR NAGRI,43.24515262996788
219,DILSHAD GARDEN,42.65080625933019
220,NAND NAGRI,42.5480248658564
221,ASHOK NAGAR,44.04891992055686
222,RAM NAGAR EAST,44.108768306283736
223,ROHTASH NAGAR,44.67033772820059
224,WELCOME COLONY,43.84837934611654
225,SEELAMPUR,43.10003628558329
226,GAUTAM PURI,41.434695915207044
227,CHAUHAN BANGER,43.112872448693786
228,MAUJPUR,43.41756743624568
229,BRAHAM PURI,40.43431082810009
230,BHAJANPURA,40.21272206962977
231,GHONDA,42.795315658907406
232,YAMUNA VIHAR,42.005565846936285
233,SUBHASH MOHALLA,42.7273474468912
234,KABIR NAGAR,43.822575373472475
235,GORAKH PARK,43.59287037282491
236,KARDAM PURI,43.801829814278435
237,HARSH VIHAR,43.3811568288774
238,SABOLI,45.01548714956877
239,GOKAL PURI,43.43461542284576
240,JOHARIPUR,43.979483546602395
241,KARAWAL NAGAR-EAST,42.78375050501819
242,DAYALPUR,42.99132414830616
243,MUSTAFABAD,42.99893722743739
244,NEHRU VIHAR,42.480824894562666
245,BRIJ PURI,42.69352382724798
246,SRI RAM COLONY,42.963734297131644
247,SADATPUR,42.726890260575765
248,KARAWAL NAGAR-WEST,42.99035109106253
249,SONIA VIHAR,41.17416366672928
250,SABAPUR,40.492025298622025
