ward_number,ward_name,mean_annual_rainfall_millimeters
1,NARELA,731.3813784688543
2,BANKNER,717.5863528793607
3,HOLAMBI KALAN,729.1454294428609
4,ALIPUR,744.227843636298
5,BAKHTAWARPUR,778.6591139109892
6,BURARI,803.9089509822816
7,KADIPUR,768.0654793491987
8,MUKUNDPUR,789.1876933161982
9,SANT NAGAR,783.3276243155997
10,JHARODA,840.5763216882256
11,TIMARPUR,849.3161219904865
12,MALKA GANJ,839.3649981933036
13,MUKHERJEE NAGAR,841.8584802455642
14,DHIRPUR,811.2073291930893
15,ADARSH NAGAR,795.790899404315
16,AZADPUR,795.790899404315
17,BHALSWA,795.790899404315
18,JAHANGIR PURI,793.4995788094787
19,SARUP NAGAR,762.8057346528695
20,SAMAYPUR BADLI,767.7225427241423
21,ROHINI-A,779.6457306406355
22,ROHINI-B,779.6457306406355
23,RITHALA,769.3985302387699
24,VIJAY VIHAR,757.3816078457809
25,BUDH VIHAR,752.3614940238434
26,POOTH KALAN,752.184714680178
27,BEGUMPUR,752.381806255361
28,SHAHBAAD DAIRY,758.0065580667778
29,POOTH KHURD,716.9605699150896
30,BAWANA,694.6301230125009
31,NANGAL THAKRAN,686.7221924055077
32,KANJHAWALA,713.5394917611709
33,RANI KHERA,717.3656726838975
34,NANGLOI,717.9143763811638
35,MUNDKA,716.3135008221591
36,NILOTHI,744.4293836801064
37,KIRARI,749.4163134159276
38,PREM NAGAR,746.1989942945972
39,MUBARIKPUR,717.9149023754248
40,NITHARI,733.5583860135289
41,AMAN VIHAR,751.3605680225434
42,MANGOL PURI,746.8523654533074
43,SULTANPURI-A,746.7959425879801
44,SULTANPURI-B,746.7959425879801
45,JAWALAPURI,746.7959425879801
46,NANGLOI JAT,746.7959425879801
47,NIHAL VIHAR,746.7959425879801
48,GURU HARKISHAN NAGAR,746.7959425879801
49,MANGOLPURI-A,746.7959425879801
50,MANGOLPURI-B,747.4998518233556
51,ROHINI-C,759.7360502304117
52,ROHINI-F,778.5173193326301
53,ROHINI-E,775.4214408129326
54,ROHINI-D,774.3500647649531
55,SHALIMAR BAGH-A,788.8634627193737
56,SHALIMAR BAGH-B,796.3955806276444
57,PITAM PURA,777.756644413013
58,SARASWATI VIHAR,751.2700741958589
59,PASCHIM VIHAR,750.8850899923857
60,RANI BAGH,752.3074021330485
61,KOHAT ENCLAVE,752.3074021330485
62,SHAKUR PUR,772.1327866863699
63,TRI NAGAR,805.6770027449429
64,KESHAV PURAM,805.6770027449429
65,ASHOK VIHAR,804.6682166897766
66,WAZIR PUR,805.6770027449429
67,SANGAM PARK,804.0426066281456
68,MODEL TOWN,803.9040723162867
69,KAMLA NAGAR,813.6671042294902
70,SHASTRI NAGAR,805.6770027449429
71,KISHAN GANJ,807.4069268355346
72,SADAR BAZAR,832.9831108568127
73,CIVIL LINES,839.5272285798301
74,CHANDNI CHOWK,836.2211140931355
75,JAMA MASJID,839.2124110716259
76,CHANDANI MAHAL,838.9677455144532
77,DELHI GATE,838.9717114313803
78,BAZAR SITA RAM,839.2301509536939
79,BALLIMARAN,839.2995333323696
80,RAM NAGAR,839.2824771054264
81,QURAISH NAGAR,839.3649981933036
82,PAHAR GANJ,837.1050501034327
83,KAROL BAGH,811.2477191332321
84,DEV NAGAR,805.6770027449429
85,WEST PATEL NAGAR,805.6770027449429
86,EAST PATEL NAGAR,794.3679867324108
87,RANJEET NAGAR,792.3492104955335
88,BALJEET NAGAR,805.6770027449429
89,KARAM PURA,784.948109728288
90,MOTI NAGAR,754.7288634400234
91,RAMESH NAGAR,742.6583849407642
92,PUNJABI BAGH,752.3074021330485
93,MADIPUR,752.3074021330485
94,RAGHUBIR NAGAR,750.9978926569528
95,VISHNU GARDEN,750.4040102801321
96,RAJOURI GARDEN,741.9138249850643
97,CHAUKHANDI NAGAR,739.0944970209035
98,SUBHASH NAGAR,740.763042277994
99,HARI NAGAR,740.763042277994
100,FATEH NAGAR,738.0319024148585
101,TILAK NAGAR,737.8140751442158
102,KHYALA,741.6747832961613
103,KESHOPUR,734.7484821915878
104,JANAK PURI SOUTH,737.2672149353535
105,MAHAVEER ENCLAVE,734.7484821915878
106,JANAK PURI WEST,734.7484821915878
107,VIKAS PURI,734.7484821915878
108,HASTSAL,733.4250699179248
109,VIKAS NAGAR,724.6896781931921
110,KUNWAR SINGH NAGAR,717.6473947390039
111,BAPROLA,705.7014689815487
112,SAINIK ENCLAVE,705.5632920484201
113,MOHAN GARDEN,702.7776277909959
114,NAWADA,712.5881787803473
115,UTTAM NAGAR,725.8302964903702
116,BINDA PUR,734.7484821915878
117,DABRI,735.6338742855257
118,SAGARPUR,740.2005294641574
119,MANGLAPURI,728.605684568595
120,DWARKA-B,706.8946086220928
121,DWARKA-A,704.5522551346605
122,MATIALA,713.5115247558156
123,KAKROLA,702.821264727122
124,NANGLI SAKRAWATI,696.1378332468935
125,CHHAWALA,674.1837380457038
126,ISAPUR,671.4102399733649
127,NAJAFGARH,702.267377220649
128,DICHAON KALAN,711.8391063469616
129,ROSHAN PURA,710.1857169262935
130,DWARKA-C,694.9071648270576
131,BIJWASAN,702.4405734140621
132,KAPASHERA,702.9517823494971
133,MAHIPALPUR,721.6539862449615
134,RAJ NAGAR,718.0426374077797
135,PALAM,718.0426374077797
136,MADHU VIHAR,734.4423541458111
137,MAHAVIR ENCLAVE,732.1546799751544
138,SADH NAGAR,722.1898011897673
139,NARAINA,749.0891462324149
140,INDER PURI,776.195724116503
141,RAJINDER NAGAR,783.6272411072111
142,DARYAGANJ,827.6768093089116
143,SIDHARTHA NAGAR,811.3755658119917
144,LAJPAT NAGAR,821.8434506679577
145,ANDREWS GANJ,828.5048319399357
146,AMAR COLONY,825.677904103436
147,KOTLA MUBARAKPUR,828.5048319399357
148,HAUZ KHAS,786.7697833875708
149,MALVIYA NAGAR,797.4876428117835
150,GREEN PARK,798.7458082065356
151,MUNIRKA,783.6386219412088
152,R.K. PURAM,783.6386219412088
153,VASANT VIHAR,780.1223829759498
154,LADO SARAI,773.8303744221664
155,MEHRAULI,763.063698336482
156,VASANT KUNJ,738.9863179106814
157,AYA NAGAR,735.544211472337
158,BHATI,756.056652298999
159,CHHATARPUR,771.4747847728685
