ward_number,ward_name,ridge_fraction
1,NARELA,0.0
2,BANKNER,0.0058
3,HOLAMBI KALAN,0.0206
4,ALIPUR,0.0055
5,BAKHTAWARPUR,0.0002
6,BURARI,0.0
7,KADIPUR,0.0
8,MUKUNDPUR,0.0125
9,SANT NAGAR,0.0
10,JHARODA,0.1542
11,TIMARPUR,0.0136
12,MALKA GANJ,0.1278
13,MUKHERJEE NAGAR,0.0
14,DHIRPUR,0.0
15,ADARSH NAGAR,0.0
16,AZADPUR,0.0
17,BHALSWA,0.0
18,JAHANGIR PURI,0.0
19,SARUP NAGAR,0.0
20,SAMAYPUR BADLI,0.0
21,ROHINI-A,0.0209
22,ROHINI-B,0.1111
23,RITHALA,0.0
24,VIJAY VIHAR,0.0
25,BUDH VIHAR,0.0
26,POOTH KALAN,0.0
27,BEGUMPUR,0.0
28,SHAHBAAD DAIRY,0.0
29,POOTH KHURD,0.0
30,BAWANA,0.0
31,NANGAL THAKRAN,0.0
32,KANJHAWALA,0.0
33,RANI KHERA,0.0
34,NANGLOI,0.0
35,MUNDKA,0.0
36,NILOTHI,0.0
37,KIRARI,0.0
38,PREM NAGAR,0.0
39,MUBARIKPUR,0.0
40,NITHARI,0.0
41,AMAN VIHAR,0.0
42,MANGOL PURI,0.0
43,SULTANPURI-A,0.0
44,SULTANPURI-B,0.0
45,JAWALAPURI,0.0
46,NANGLOI JAT,0.0
47,NIHAL VIHAR,0.0
48,GURU HARKISHAN NAGAR,0.0125
49,MANGOLPURI-A,0.0
50,MANGOLPURI-B,0.0
51,ROHINI-C,0.0
52,ROHINI-F,0.0
53,ROHINI-E,0.0
54,ROHINI-D,0.0
55,SHALIMAR BAGH-A,0.0
56,SHALIMAR BAGH-B,0.0
57,PITAM PURA,0.0042
58,SARASWATI VIHAR,0.0
59,PASCHIM VIHAR,0.0
60,RANI BAGH,0.0
61,KOHAT ENCLAVE,0.0
62,SHAKUR PUR,0.0
63,TRI NAGAR,0.0
64,KESHAV PURAM,0.0
65,ASHOK VIHAR,0.0
66,WAZIR PUR,0.0
67,SANGAM PARK,0.0
68,MODEL TOWN,0.0
69,KAMLA NAGAR,0.0003
70,SHASTRI NAGAR,0.0
71,KISHAN GANJ,0.0
72,SADAR BAZAR,0.0
73,CIVIL LINES,0.1497
74,CHANDNI CHOWK,0.0893
75,JAMA MASJID,0.0
76,CHANDANI MAHAL,0.0
77,DELHI GATE,0.0
78,BAZAR SITA RAM,0.0
79,BALLIMARAN,0.0
80,RAM NAGAR,0.0
81,QURAISH NAGAR,0.0
82,PAHAR GANJ,0.0
83,KAROL BAGH,0.0002
84,DEV NAGAR,0.0
85,WEST PATEL NAGAR,0.0
86,EAST PATEL NAGAR,0.0
87,RANJEET NAGAR,0.0
88,BALJEET NAGAR,0.0
89,KARAM PURA,0.0
90,MOTI NAGAR,0.0
91,RAMESH NAGAR,0.0
92,PUNJABI BAGH,0.0
93,MADIPUR,0.0
94,RAGHUBIR NAGAR,0.0
95,VISHNU GARDEN,0.0
96,RAJOURI GARDEN,0.0129
97,CHAUKHANDI NAGAR,0.0
98,SUBHASH NAGAR,0.0
99,HARI NAGAR,0.0
100,FATEH NAGAR,0.0
101,TILAK NAGAR,0.0
102,KHYALA,0.0
103,KESHOPUR,0.0
104,JANAK PURI SOUTH,0.0049
105,MAHAVEER ENCLAVE,0.0
106,JANAK PURI WEST,0.0
107,VIKAS PURI,0.0117
108,HASTSAL,0.0
109,VIKAS NAGAR,0.0
110,KUNWAR SINGH NAGAR,0.0
111,BAPROLA,0.0
112,SAINIK ENCLAVE,0.0
113,MOHAN GARDEN,0.0
114,NAWADA,0.0
115,UTTAM NAGAR,0.0
116,BINDA PUR,0.0
117,DABRI,0.0
118,SAGARPUR,0.0
119,MANGLAPURI,0.0
120,DWARKA-B,0.0
121,DWARKA-A,0.0414
122,MATIALA,0.0114
123,KAKROLA,0.0
124,NANGLI SAKRAWATI,0.0
125,CHHAWALA,0.0368
126,ISAPUR,0.0174
127,NAJAFGARH,0.0
128,DICHAON KALAN,0.0
129,ROSHAN PURA,0.0
130,DWARKA-C,0.0
131,BIJWASAN,0.0
132,KAPASHERA,0.0002
133,MAHIPALPUR,0.0531
134,RAJ NAGAR,0.0
135,PALAM,0.0002
136,MADHU VIHAR,0.0
137,MAHAVIR ENCLAVE,0.0
138,SADH NAGAR,0.0
139,NARAINA,0.0
140,INDER PURI,0.0169
141,RAJINDER NAGAR,0.5988
142,DARYAGANJ,0.0009
143,SIDHARTHA NAGAR,0.0104
144,LAJPAT NAGAR,0.0
145,ANDREWS GANJ,0.0
146,AMAR COLONY,0.0
147,KOTLA MUBARAKPUR,0.0
148,HAUZ KHAS,0.1368
149,MALVIYA NAGAR,0.0
150,GREEN PARK,0.2065
151,MUNIRKA,0.0021
152,R.K. PURAM,0.0
153,VASANT VIHAR,0.2897
154,LADO SARAI,0.2211
155,MEHRAULI,0.664
156,VASANT KUNJ,0.1195
157,AYA NAGAR,0.5012
158,BHATI,0.642
159,CHHATARPUR,0.0975
160,SAID-UL-AJAIB,0.7908
161,DEOLI,0.8158
162,TIGRI,0.0359
163,SANGAM VIHAR-A,1.0
164,DAKSHIN PURI,0.5178
165,MADANGIR,0.0
166,PUSHP VIHAR,0.0
167,KHANPUR,0.0
168,SANGAM VIHAR-C,0.8093
169,SANGAM VIHAR-B,0.998
170,TUGHLAKABAD EXTENSION,0.6274
