ward_number,ward_name,distance_to_water_meters,distance_to_water_body_meters,water_tier,water_cost_multiplier
1,NARELA,0.0,637.7,W1,1.0
2,BANKNER,0.0,978.6,W1,1.0
3,HOLAMBI KALAN,0.0,330.5,W1,1.0
4,ALIPUR,0.0,1790.2,W1,1.0
5,BAKHTAWARPUR,0.0,507.1,W1,1.0
6,BURARI,0.0,770.0,W1,1.0
7,KADIPUR,0.0,1296.9,W1,1.0
8,MUKUNDPUR,0.0,209.5,W1,1.0
9,SANT NAGAR,0.0,51.4,W1,1.0
10,JHARODA,0.0,201.7,W1,1.0
11,TIMARPUR,0.0,54.1,W1,1.0
12,MALKA GANJ,0.0,531.9,W1,1.0
13,MUKHERJEE NAGAR,0.0,1229.3,W1,1.0
14,DHIRPUR,0.0,326.4,W1,1.0
15,ADARSH NAGAR,0.0,1095.7,W1,1.0
16,AZADPUR,0.0,1163.7,W1,1.0
17,BHALSWA,0.0,360.7,W1,1.0
18,JAHANGIR PURI,0.0,351.8,W1,1.0
19,SARUP NAGAR,0.0,1225.4,W1,1.0
20,SAMAYPUR BADLI,0.0,1600.9,W1,1.0
21,ROHINI-A,0.0,490.5,W1,1.0
22,ROHINI-B,0.0,47.8,W1,1.0
23,RITHALA,0.0,383.9,W1,1.0
24,VIJAY VIHAR,0.0,337.1,W1,1.0
25,BUDH VIHAR,0.0,443.1,W1,1.0
26,POOTH KALAN,0.0,215.1,W1,1.0
27,BEGUMPUR,0.0,71.0,W1,1.0
28,SHAHBAAD DAIRY,0.0,122.7,W1,1.0
29,POOTH KHURD,0.0,393.2,W1,1.0
30,BAWANA,0.0,1283.4,W1,1.0
31,NANGAL THAKRAN,0.0,929.6,W1,1.0
32,KANJHAWALA,0.0,182.3,W1,1.0
33,RANI KHERA,0.0,172.8,W1,1.0
34,NANGLOI,0.0,0.0,W1,1.0
35,MUNDKA,0.0,377.6,W1,1.0
36,NILOTHI,0.0,1381.7,W1,1.0
37,KIRARI,0.0,2.5,W1,1.0
38,PREM NAGAR,0.0,777.8,W1,1.0
39,MUBARIKPUR,0.0,26.0,W1,1.0
40,NITHARI,0.0,74.2,W1,1.0
41,AMAN VIHAR,0.0,727.5,W1,1.0
42,MANGOL PURI,0.0,88.9,W1,1.0
43,SULTANPURI-A,0.0,161.6,W1,1.0
44,SULTANPURI-B,8.1,590.0,W1,1.0
45,JAWALAPURI,0.0,611.6,W1,1.0
46,NANGLOI JAT,0.0,99.4,W1,1.0
47,NIHAL VIHAR,0.0,1117.3,W1,1.0
48,GURU HARKISHAN NAGAR,0.0,665.7,W1,1.0
49,MANGOLPURI-A,0.0,577.3,W1,1.0
50,MANGOLPURI-B,314.4,1244.8,W2,1.35
51,ROHINI-C,0.0,98.6,W1,1.0
52,ROHINI-F,0.0,316.6,W1,1.0
53,ROHINI-E,17.0,837.7,W1,1.0
54,ROHINI-D,0.0,871.9,W1,1.0
55,SHALIMAR BAGH-A,0.0,931.8,W1,1.0
56,SHALIMAR BAGH-B,0.0,1564.5,W1,1.0
57,PITAM PURA,0.0,1546.5,W1,1.0
58,SARASWATI VIHAR,0.0,1016.0,W1,1.0
59,PASCHIM VIHAR,0.0,576.2,W1,1.0
60,RANI BAGH,0.0,1427.0,W1,1.0
61,KOHAT ENCLAVE,0.0,201.7,W1,1.0
62,SHAKUR PUR,0.0,1570.0,W1,1.0
63,TRI NAGAR,0.0,518.3,W1,1.0
64,KESHAV PURAM,0.0,1844.4,W1,1.0
65,ASHOK VIHAR,0.0,914.9,W1,1.0
66,WAZIR PUR,0.0,671.6,W1,1.0
67,SANGAM PARK,0.0,1118.7,W1,1.0
68,MODEL TOWN,0.0,439.4,W1,1.0
69,KAMLA NAGAR,0.0,475.5,W1,1.0
