ward_number,ward_name,worldcover_canopy_fraction,worldcover_built_fraction,cropland_fraction,worldcover_bare_or_other_fraction
1,NARELA,0.0466346008315105,0.4716619922451779,0.41704554073147054,0.0646578661918412
2,BANKNER,0.039531479779863835,0.1887801610784196,0.6695398307967267,0.10214852834498922
3,HOLAMBI KALAN,0.10699321865408522,0.35380987158961896,0.41941330716249003,0.1197836025938047
4,ALIPUR,0.07991215713563002,0.3426842814675616,0.5118622583030373,0.0655413030937712
5,BAKHTAWARPUR,0.05813136901953641,0.14358170295604056,0.7170581300896968,0.08122879793472748
6,BURARI,0.06744205449396089,0.270575047610313,0.5648804113188012,0.09710248657692415
7,KADIPUR,0.08102007234691552,0.380429057567953,0.4194570807702233,0.1190937893149079
8,MUKUNDPUR,0.17453708843172924,0.5010558423634236,0.11881827614964484,0.2055887930552025
9,SANT NAGAR,0.0333467762443849,0.7663567679819131,0.07536998793736642,0.12492646783633582
10,JHARODA,0.17928228398070356,0.3276186514902212,0.3813379570079432,0.11176110752113326
11,TIMARPUR,0.26981331673579584,0.6588649320445393,0.028776914809566262,0.04254483641009858
12,MALKA GANJ,0.4132422981327343,0.5564564376173405,0.0037863278670390126,0.026514936382886337
13,MUKHERJEE NAGAR,0.3265133584982777,0.6476774786012476,0.01050994016686416,0.015299222733610387
14,DHIRPUR,0.2863791633221156,0.39583541953841805,0.13201482228476175,0.1857705948547044
15,ADARSH NAGAR,0.033174125004552545,0.7523240427122302,0.034048209946878544,0.18045362233633896
16,AZADPUR,0.06659771461380852,0.9156177487981803,0.008030911762484537,0.009753624825524951
17,BHALSWA,0.03119520020488233,0.9447600280290389,0.00272109327480908,0.021323678491269385
18,JAHANGIR PURI,0.04330147762741136,0.6554220130683551,0.053666839787673386,0.2476096695165599
19,SARUP NAGAR,0.018141241848704973,0.8521624730547219,0.04516259573240976,0.08453368936416325
20,SAMAYPUR BADLI,0.07098276324047857,0.8380421995385892,0.0546833249389596,0.036291712281974274
21,ROHINI-A,0.16336250727900092,0.7209370230740401,0.06050137221532567,0.055199097431633815
